,mean,std
ego_iou,0.39275378469697897,0.36185509082196426
ego_recall,0.36199999999999993,0.39579736678704114
ego_f1,0.33561904761904765,0.3534842231188729
helper_clean_iou,0.8135718242386235,0.17998804954187111
helper_clean_recall,0.9066666666666666,0.24094720491334934
helper_clean_f1,0.9026666666666666,0.2276937514391742
helper_corrupt_iou,0.8014234790331954,0.18066268449287098
helper_corrupt_recall,0.9133333333333333,0.23134069792952236
helper_corrupt_f1,0.9079999999999999,0.22345767682792492
fused_iou,0.8403320768782734,0.06744908567325078
fused_recall,0.8833333333333333,0.22308858894734737
fused_f1,0.8841904761904762,0.19925086456394225
dropped_blocks,1.36,0.9949874371066199
